"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","UDP","195","443  >  54762 Len=133"
"2","0.000000224","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","UDP","112","443  >  54762 Len=50"
"3","0.000273790","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","UDP","107","54762  >  443 Len=45"
"4","0.000356355","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","UDP","102","54762  >  443 Len=40"
"5","0.058864812","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","UDP","87","443  >  54762 Len=25"
"6","0.204449602","192.168.239.67","224.0.0.251","MDNS","103","Standard query 0x0012 PTR _CA5E8412._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"7","1.081791062","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:e962","TLSv1.2","229","Application Data"
"8","1.081872403","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TLSv1.2","158","Application Data"
"9","1.081916492","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","444","Application Data"
"10","1.083393493","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","125","Application Data"
"11","1.083408705","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TLSv1.2","125","Application Data"
"12","1.083413121","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:e962","TLSv1.2","125","Application Data"
"13","1.171444499","64:ff9b::23f4:e962","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  60214 [ACK] Seq=1 Ack=144 Win=945 Len=0 TSval=784177837 TSecr=2706552420"
"14","1.211287393","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  39058 [ACK] Seq=1 Ack=73 Win=268 Len=0 TSval=3699953245 TSecr=3475464165"
"15","1.302935646","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","181","Application Data"
"16","1.302935982","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","1294","Application Data"
"17","1.302947182","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  54476 [ACK] Seq=1 Ack=359 Win=289 Len=0 TSval=429568206 TSecr=2529154042"
"18","1.302947424","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  54476 [ACK] Seq=1 Ack=398 Win=289 Len=0 TSval=429568211 TSecr=2529154044"
"19","1.302947470","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","125","Application Data"
"20","1.303120217","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TCP","86","39058  >  443 [ACK] Seq=112 Ack=1304 Win=502 Len=0 TSval=3475464386 TSecr=3699953314"
"21","1.303911904","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","425","Application Data"
"22","1.303912105","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","117","Application Data"
"23","1.303912150","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","125","Application Data"
"24","1.304558668","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TCP","86","39058  >  443 [ACK] Seq=112 Ack=1713 Win=502 Len=0 TSval=3475464388 TSecr=3699953316"
"25","1.305192919","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TLSv1.2","121","Application Data"
"26","1.305221353","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:804::2004","TLSv1.2","125","Application Data"
"27","1.306045478","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  39058 [ACK] Seq=1713 Ack=112 Win=268 Len=0 TSval=3699953340 TSecr=3475464167"
"28","1.306045664","2404:6800:4002:804::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","125","Application Data"
"29","1.324153908","64:ff9b::23f4:e962","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  60214 [ACK] Seq=1 Ack=183 Win=945 Len=0 TSval=784177993 TSecr=2706552422"
"30","1.326105137","64:ff9b::23f4:e962","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","125","Application Data"
